Configuration,Val SPS,Val Delta SPS,Val Coverage,Test SPS,Test Delta SPS,Test Coverage,Test Mean Width,Test Median Width,Test u Width,Test v Width,Test u Q1 Cov,Test u Q2 Cov,Test u Q3 Cov,Test u Q4 Cov,Latency ms
baseline,47.50814134984832,0.0,89.46380315677898,47.8390391818204,0.0,90.26394077617051,0.020652577744690318,0.017110303044319153,0.027158926716540462,0.014146228772840174,94.7424386208239,94.00704091425742,86.28270720002143,74.22199459912468,265.04530000238447
C1_mild,47.37670758699636,-0.1314337628519624,90.03599893228869,47.70748866672033,-0.13155051510006643,90.78061212790838,0.021194523369033505,0.01731896959245205,0.028242817965226832,0.014146228772840174,94.92177044553131,94.40839956303874,87.43677361521519,76.31237279342317,148.39180000126362
C2_moderate,47.228805235452036,-0.2793361143962869,90.534232966829,47.559872843312974,-0.279166338507423,91.22721972587662,0.021708253528853874,0.01752150058746338,0.02927027828486757,0.014146228772840174,95.08650266442807,94.77105971951333,88.47295512670954,78.04903356258231,141.99319999897853
C3_q4_boost,47.37774302774689,-0.13039832210143487,90.0520755337795,47.721870137827864,-0.1171690439925328,90.75258662640053,0.021245933373066208,0.017110303044319153,0.028345637973292242,0.014146228772840174,94.7424386208239,94.00704091425742,86.28270720002143,78.04903356258231,131.04890000249725
