trajectory,Re,AoA,windows,base_sps,cand_sps,delta_sps,sign,base_cov,cand_cov,base_width,cand_width
13950_0.h5,13977,0,6,55.574943825498934,55.72414241773791,0.14919859223897447,+,0.939300125625544,0.9331887988865948,0.015591447241604328,0.015044081024825573
13950_10.h5,13977,10,6,46.57793969276171,46.79877126525472,0.22083157249301166,+,0.9049353079990236,0.8948269002992739,0.022091301158070564,0.021025830879807472
13950_15.h5,13977,15,6,45.33605522702043,45.59249727460197,0.25644204758153677,+,0.90044890175348,0.8894392578399264,0.0224609375,0.021280726417899132
13950_20.h5,13977,20,6,41.342074357267904,41.49418225687695,0.15210789960904236,+,0.8638897686303944,0.8506401384833642,0.02607775293290615,0.02477908506989479
13950_5.h5,13977,5,6,53.90962752412487,54.089656279575415,0.1800287554505431,+,0.9365400714721358,0.9285093120169196,0.016744637861847878,0.01601821929216385
24150_0.h5,24204,0,6,49.869335336747554,49.97162808989779,0.10229275315023756,+,0.8981570570410436,0.8877193551902179,0.018666405230760574,0.017805036157369614
24150_10.h5,24204,10,6,39.524616722773715,39.6619577184992,0.13734099572548786,+,0.844822784161425,0.8328175168169554,0.029130036011338234,0.027929382398724556
24150_15.h5,24204,15,6,35.730513940596246,35.806794330987614,0.0762803903913678,+,0.8006004423834202,0.784671914103129,0.030201101675629616,0.028732305392622948
24150_20.h5,24204,20,2,33.07290055925872,33.13279918042459,0.05989862116587119,+,0.8031851238147841,0.7882458147578281,0.035172197967767715,0.03375636786222458
6300_0.h5,6306,0,6,59.79385526377595,60.011426862705505,0.21757159892955258,+,0.973018635141605,0.9695613744337642,0.015661906450986862,0.015248920768499374
6300_10.h5,6306,10,6,51.5781628965637,51.7464078301588,0.16824493359510484,+,0.9408965323066147,0.9352654505666562,0.01583857275545597,0.015302570536732674
6300_15.h5,6306,15,6,47.368836929028305,47.499894700218654,0.13105777119034911,+,0.9219583602952156,0.9134896896253694,0.01754247024655342,0.016846030950546265
6300_20.h5,6306,20,6,44.99622764658664,45.030824784828326,0.03459713824168631,+,0.8873596200679814,0.8775010093029515,0.018053745850920677,0.017330864444375038
6300_5.h5,6306,5,6,56.67888591004717,56.905711013971924,0.22682510392475308,+,0.9640857600655823,0.9601429023904011,0.015583319589495659,0.01513087097555399
