Re,trajectories,windows,base_sps,cand_sps,delta_sps,sign,base_cov,cand_cov,base_width,cand_width
6306,5,30,51.97147698746233,52.12545925212137,0.1539822646590352,+,0.9367560607772845,0.9304294430080208,0.016536002978682518,0.015971850603818893
13977,5,30,48.43952828799812,48.63108467759869,0.19155638960057075,+,0.9084120787245914,0.8986610344381654,0.02059321478009224,0.01962958835065365
24204,4,20,40.75377982809084,40.85459761145408,0.10081778336324021,+,0.8429205703311539,0.8298982444035781,0.02691648155450821,0.025715650990605354
