AoA,trajectories,windows,base_sps,cand_sps,delta_sps,sign,base_cov,cand_cov,base_width,cand_width
0,3,18,55.09226941020204,55.2487482940119,0.15647888380985364,+,0.9369200501079781,0.9302607613031149,0.016639918088912964,0.01603267900645733
5,2,12,55.29130758582694,55.49468467958205,0.20337709375510826,+,0.9502835808928877,0.9442924189026041,0.016163978725671768,0.015574544668197632
10,3,18,45.839159750873655,46.01447868923906,0.17531893836540746,+,0.8964503323624995,0.8871736989371026,0.02235330455005169,0.021419260650873184
15,3,18,42.81969732819402,42.97435235696947,0.15465502877545134,+,0.8744181725064698,0.8626207277885797,0.023401504382491112,0.02228635363280773
20,3,14,41.73873207338219,41.82736180277472,0.08862972939252955,+,0.8653619422792166,0.8533279319047486,0.023938098922371864,0.02286945842206478
